session_id,timestamp,hp,max_hp,pos_x,pos_y,vel_x,vel_y,grounded,facing,enemy0_present,enemy0_rel_x,enemy0_rel_y,enemy0_distance,enemy0_attacking,enemy1_present,enemy1_rel_x,enemy1_rel_y,enemy1_distance,enemy1_attacking,action_left,action_right,action_up,action_down,action_jump,action_dash,action_attack,action_skill,action_heal
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.307,5,5,49.241,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.353,5,5,50.416,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.446,5,5,53.157,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.494,5,5,54.332,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.558,5,5,55.115,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.558,5,5,55.115,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.604,5,5,56.29,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.696,5,5,59.032,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.743,5,5,60.207,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.791,5,5,60.99,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
